iter	Passed	Remaining
470	712	800
471	713	798
472	714	796
473	715	794
474	716	792
475	718	790
476	719	788
477	720	786
478	721	784
479	723	783
480	724	781
481	725	779
482	726	777
483	727	775
484	728	773
485	729	771
486	730	769
487	731	767
488	732	765
489	733	763
490	735	761
491	736	760
492	738	759
493	739	757
494	740	755
495	741	753
496	742	751
497	743	749
498	744	747
499	746	746
500	747	744
501	748	742
502	749	740
503	750	738
504	751	736
505	752	735
506	754	733
507	755	731
508	756	729
509	757	727
510	758	725
511	759	723
512	760	722
513	761	720
514	762	718
515	763	716
516	764	714
517	765	712
518	767	711
519	769	710
520	770	708
521	771	706
522	772	704
523	774	703
524	775	701
525	776	699
526	777	697
527	778	696
528	779	694
529	780	692
530	782	690
531	783	689
532	784	687
533	785	685
534	786	683
535	787	681
536	788	679
537	789	678
538	790	676
539	791	674
540	792	672
541	794	670
542	795	669
543	796	667
544	798	666
545	799	664
546	800	662
547	801	660
548	802	659
549	803	657
550	804	655
551	805	653
552	806	652
553	807	650
554	809	648
555	810	646
556	812	646
557	813	644
558	814	642
559	815	640
560	816	639
561	817	637
562	818	635
563	819	633
564	820	631
565	821	630
566	823	628
567	824	627
568	827	626
569	828	625
570	830	623
571	831	621
572	832	620
573	833	618
574	834	616
575	835	615
576	836	613
577	837	611
578	838	609
579	839	608
580	841	607
581	843	605
582	844	603
583	845	602
584	846	600
585	847	598
586	848	597
587	849	595
588	850	593
589	851	591
590	852	590
591	853	588
592	854	586
593	856	585
594	858	584
595	859	582
596	860	580
597	861	579
598	862	577
599	863	575
600	864	574
601	865	572
602	866	570
603	867	569
604	869	567
605	870	565
606	872	564
607	873	562
608	874	561
609	875	559
610	876	557
611	877	556
612	878	554
613	879	553
614	880	551
615	882	549
616	883	548
617	884	546
618	886	545
619	887	544
620	888	542
621	890	540
622	891	539
623	892	537
624	893	536
625	894	534
626	896	533
627	897	531
628	899	530
629	901	529
630	902	527
631	903	526
632	905	524
633	906	523
634	908	521
635	909	520
636	910	519
637	912	517
638	913	516
639	917	516
640	919	514
641	921	513
642	923	512
643	924	511
644	925	509
645	927	508
646	928	506
647	929	505
648	933	504
649	934	503
650	936	501
651	937	500
652	938	498
653	941	498
654	943	496
655	944	495
656	949	495
657	951	494
658	953	493
659	954	491
660	955	489
661	957	488
662	958	487
663	960	486
664	962	484
665	963	483
666	965	481
667	967	481
668	971	480
669	976	481
670	978	479
671	981	479
672	983	477
673	986	477
674	988	475
675	990	474
676	991	473
677	993	472
678	995	470
679	997	469
680	999	468
681	1001	467
682	1005	466
683	1007	465
684	1009	464
685	1011	462
686	1013	461
687	1014	460
688	1016	458
689	1020	458
690	1022	457
691	1023	455
692	1025	454
693	1027	452
694	1029	451
695	1030	450
696	1032	448
697	1037	448
698	1039	447
699	1041	446
700	1043	445
701	1045	443
702	1047	442
703	1055	443
704	1057	442
705	1059	441
706	1061	439
707	1062	438
708	1065	437
709	1068	436
710	1070	434
711	1071	433
712	1073	431
713	1074	430
714	1078	429
715	1081	428
716	1082	427
717	1084	425
718	1086	424
719	1087	423
720	1090	421
721	1091	420
722	1093	418
723	1094	417
724	1096	415
725	1097	414
726	1098	412
727	1100	411
728	1101	409
729	1102	407
730	1104	406
731	1105	404
732	1106	403
733	1107	401
734	1110	400
735	1111	398
736	1112	397
737	1113	395
738	1115	393
739	1116	392
740	1117	390
741	1118	388
742	1119	387
743	1120	385
744	1122	384
745	1123	382
746	1125	381
747	1126	379
748	1127	377
749	1129	376
750	1131	374
751	1132	373
752	1133	371
753	1134	370
754	1135	368
755	1136	366
756	1138	365
757	1140	364
758	1141	362
759	1143	361
760	1144	359
761	1145	357
762	1146	356
763	1147	354
764	1149	353
765	1150	351
766	1151	349
767	1152	348
768	1154	346
769	1155	345
770	1156	343
771	1158	342
772	1159	340
773	1160	338
774	1161	337
775	1163	335
776	1164	334
777	1165	332
778	1166	330
779	1167	329
780	1169	327
781	1170	326
782	1171	324
783	1173	323
784	1175	321
785	1176	320
786	1177	318
787	1178	317
788	1179	315
789	1180	313
790	1181	312
791	1184	311
792	1186	309
793	1187	308
794	1188	306
795	1189	304
796	1191	303
797	1192	301
798	1193	300
799	1194	298
800	1196	297
801	1198	295
802	1199	294
803	1201	292
804	1202	291
805	1203	289
806	1204	288
807	1205	286
808	1207	285
809	1208	283
810	1209	281
811	1211	280
812	1213	279
813	1214	277
814	1215	275
815	1216	274
816	1218	272
817	1219	271
818	1221	269
819	1222	268
820	1223	266
821	1224	265
822	1225	263
823	1228	262
824	1229	260
825	1231	259
826	1232	257
827	1233	256
828	1234	254
829	1236	253
830	1237	251
831	1238	250
832	1239	248
833	1240	246
834	1243	245
835	1244	244
836	1246	242
837	1247	241
838	1248	239
839	1249	238
840	1250	236
841	1251	234
842	1253	233
843	1254	231
844	1255	230
845	1258	229
846	1259	227
847	1261	226
848	1262	224
849	1263	222
850	1264	221
851	1266	219
852	1267	218
853	1268	216
854	1269	215
855	1271	213
856	1273	212
857	1274	210
858	1276	209
859	1277	207
860	1278	206
861	1279	204
862	1281	203
863	1282	201
864	1283	200
865	1284	198
866	1286	197
867	1288	195
868	1289	194
869	1291	192
870	1292	191
871	1293	189
872	1295	188
873	1296	186
874	1297	185
875	1298	183
876	1299	182
877	1302	180
878	1303	179
879	1304	177
880	1306	176
881	1308	175
882	1309	173
883	1310	171
884	1311	170
885	1312	168
886	1313	167
887	1316	166
888	1317	164
889	1319	163
890	1320	161
891	1321	160
892	1322	158
893	1324	156
894	1325	155
895	1326	153
896	1327	152
897	1328	150
898	1329	149
899	1331	147
900	1332	146
901	1334	144
902	1335	143
903	1336	141
904	1337	140
905	1338	138
906	1339	137
907	1340	135
908	1342	134
909	1343	132
910	1344	131
911	1346	129
912	1347	128
913	1348	126
914	1349	125
915	1351	123
916	1352	122
917	1353	120
918	1354	119
919	1355	117
920	1356	116
921	1357	114
922	1358	113
923	1359	111
924	1361	110
925	1362	108
926	1363	107
927	1364	105
928	1365	104
929	1366	102
930	1367	101
931	1369	99
932	1370	98
933	1371	96
934	1372	95
935	1373	93
936	1375	92
937	1376	90
938	1377	89
939	1378	88
940	1380	86
941	1381	85
942	1382	83
943	1383	82
944	1384	80
945	1385	79
946	1386	77
947	1387	76
948	1390	74
949	1392	73
950	1394	71
951	1396	70
952	1397	68
953	1398	67
954	1399	65
955	1400	64
956	1401	62
957	1402	61
958	1403	60
959	1405	58
960	1407	57
961	1408	55
962	1409	54
963	1410	52
964	1411	51
965	1412	49
966	1413	48
967	1414	46
968	1415	45
969	1416	43
970	1417	42
971	1419	40
972	1421	39
973	1422	37
974	1423	36
975	1424	35
976	1425	33
977	1427	32
978	1428	30
979	1429	29
980	1430	27
981	1432	26
982	1433	24
983	1435	23
984	1436	21
985	1437	20
986	1439	18
987	1440	17
988	1441	16
989	1442	14
990	1443	13
991	1445	11
992	1446	10
993	1447	8
994	1449	7
995	1451	5
996	1452	4
997	1453	2
998	1454	1
999	1456	0
