model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,fit_time_s,best_params
Linear Regression,0.8736010383681992,0.8812526865878957,4.2746875,4.19625,5.3381952123353456,5.375479629763283,0.013056039810180664,{}
Gradient Boosting,0.8951928429225142,0.8711008223771048,3.928533061043079,4.3312397574007715,4.860916587576446,5.600546370138463,41.898998737335205,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.75}"
CatBoosting Regressor,0.9050803337284035,0.8566301224032382,3.7126616624123243,4.533042424162881,4.625948565100778,5.9065553940170465,15.804378271102905,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.1}"
Random Forest,0.9770704327667227,0.8524269971945087,1.8190766252790178,4.601315104166666,2.273634378341699,5.99251019072006,13.243767499923706,{'n_estimators': 256}
AdaBoost Regressor,0.8553540833884904,0.8514527457084959,4.682185467728231,4.660108605685912,5.710521714448699,6.012258409590171,14.631457328796387,"{'learning_rate': 0.5, 'n_estimators': 256}"
XGBRegressor,0.9287495013467192,0.8488786573230696,3.181446888446808,4.669543380737305,4.007897926990581,6.064126131014755,6.710058927536011,"{'learning_rate': 0.05, 'n_estimators': 64}"
Decision Tree,0.9996534669718089,0.7568612269991091,0.01875,6.145,0.2795084971874737,7.691878834199093,0.17054128646850586,{'criterion': 'poisson'}
